,date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min
92,2020-04-02 05:00:00+00:00,53.0,50.2583,58.3583,41.888298,0.07874016,0.07874016,0.0,12.719464,25.501799,135.30312,40.534554,50.708298,34.1483,69.667915,89.64333,55.89054,982.9602,984.20276,981.11224
93,2020-04-03 05:00:00+00:00,73.0,31.714546,52.0583,26.2283,0.3110236,0.2047244,0.7440945,10.054065,34.0024,290.5482,24.67205,45.4883,17.408298,76.04652,96.85254,54.14981,988.4634,992.67,982.201
94,2020-04-04 05:00:00+00:00,2.0,30.555801,44.588303,19.028301,0.0,0.0,0.0,7.2762704,13.869399,340.3631,15.8033,26.0483,7.9582996,56.873646,77.89177,33.728966,992.3408,995.23334,989.3615
95,2020-04-05 05:00:00+00:00,3.0,39.2783,55.208298,24.1583,0.0,0.0,0.0,7.9437127,18.3434,145.3164,25.24955,32.7083,19.6583,60.49298,83.50741,32.862293,988.2883,990.74866,984.80646
96,2020-04-06 05:00:00+00:00,3.0,48.548306,62.768303,38.1083,0.0,0.0,0.0,9.7225895,20.8041,141.07022,39.518307,50.2583,30.6383,71.58613,91.84949,56.949436,981.33057,985.3072,977.3645
97,2020-04-07 05:00:00+00:00,51.0,55.0208,69.158295,45.9383,0.003937008,0.003937008,0.0,8.105845,17.896,285.59277,47.41205,53.138298,37.2983,78.35356,98.31999,42.820107,973.9959,976.63696,972.5142
98,2020-04-08 05:00:00+00:00,51.0,45.623295,53.048298,37.2983,0.031496067,0.031496067,0.0,15.959705,30.8706,312.00507,29.3408,39.0083,20.3783,55.872433,87.63753,28.545155,978.2149,981.0014,974.9382
99,2020-04-09 05:00:00+00:00,73.0,35.62955,40.8083,30.8183,0.07086614,0.0,0.49606296,18.437277,37.581596,309.68616,19.9883,23.438301,15.1582985,53.428272,71.85442,34.86948,982.1369,987.1587,979.58685
100,2020-04-10 05:00:00+00:00,3.0,35.2133,44.0483,24.7883,0.0,0.0,0.0,9.621701,19.461899,265.2013,22.3508,30.4583,18.2183,60.517223,82.488914,42.713253,985.3438,988.53326,979.8095
101,2020-04-11 05:00:00+00:00,3.0,43.740795,58.268303,28.8383,0.0,0.0,0.0,12.098428,23.2648,61.821507,28.302053,33.6983,24.7883,58.2988,88.173256,33.994644,976.56134,979.3411,973.745
